[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-c-i-29.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-c-i-29.js: Array.prototype.some.call(obj, callbackfn) !== true
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-7-b-16.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-7-b-16.js: arr.every(callbackfn) Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-a-10.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-a-10.js: arr.indexOf(6.99) Expected SameValue(«-1», «1») to be true
[FAIL 1] built-ins/Array/prototype/pop/set-length-zero-array-is-frozen.js | Exception in /tmp/repro_built-ins__Array__prototype__pop__set-length-zero-array-is-frozen.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/toSorted/comparefn-stop-after-error.js | Exception in /tmp/repro_built-ins__Array__prototype__toSorted__comparefn-stop-after-error.js: Expected SameValue(«3», «1») to be true
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-7-b-14.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-7-b-14.js: arr.every(callbackfn) !== true
[FAIL 1] built-ins/Array/prototype/splice/length-and-deleteCount-exceeding-integer-limit.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__length-and-deleteCount-exceeding-integer-limit.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/concat/is-concat-spreadable-proxy.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__is-concat-spreadable-proxy.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/concat/create-species-non-extensible-spreadable.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__create-species-non-extensible-spreadable.js: arr.concat([1]) throws a TypeError exception Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/splice/length-near-integer-limit-grow-array.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__length-near-integer-limit-grow-array.js: The value of arrayLike.length is expected to be 2 ** 53 - 1 Expected SameValue(«4294967296», «9007199254740991») to be true
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-b-i-15.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-b-i-15.js: [, , , ].indexOf(10) Expected SameValue(«-1», «0») to be true
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-9-b-11.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-9-b-11.js: newArr.length Expected SameValue(«3», «2») to be true
[FAIL 1] built-ins/Array/prototype/fill/resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__fill__resizable-buffer.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/slice/create-proxy.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__create-proxy.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-15.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-15.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/slice/length-exceeding-integer-limit-proxied-array.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__length-exceeding-integer-limit-proxied-array.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/concat/create-species-non-ctor.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__create-species-non-ctor.js: a.concat() throws a TypeError exception Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-2-10.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-2-10.js: Array.prototype.reduceRight.call(child, callbackfn, 11) !== true
[FAIL 1] built-ins/Array/prototype/fill/return-abrupt-from-setting-property-value.js | Exception in /tmp/repro_built-ins__Array__prototype__fill__return-abrupt-from-setting-property-value.js: Expected a Test262Error to be thrown but no exception was thrown at all
