[FAIL 1] built-ins/Array/prototype/sort/precise-setter-decreases-length.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-setter-decreases-length.js: Expected SameValue(«8», «7») to be true
[FAIL 1] built-ins/Array/prototype/splice/create-species-abrupt.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-species-abrupt.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-b-16.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-b-16.js: arr.some(callbackfn) !== true
[FAIL 1] built-ins/Array/prototype/find/callbackfn-resize-arraybuffer.js | Exception in /tmp/repro_built-ins__Array__prototype__find__callbackfn-resize-arraybuffer.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-b-i-31.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-b-i-31.js: accessed Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/shift/throws-when-this-value-length-is-writable-false.js | Exception in /tmp/repro_built-ins__Array__prototype__shift__throws-when-this-value-length-is-writable-false.js: Array.prototype.shift.call('') Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/at/coerced-index-resize.js | Exception in /tmp/repro_built-ins__Array__prototype__at__coerced-index-resize.js: TypeError: is not a function
[FAIL 1] built-ins/ArrayIteratorPrototype/next/Float64Array.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__Float64Array.js: first result `value` Expected SameValue(«undefined», «3») to be true
[FAIL 1] built-ins/Array/prototype/findLastIndex/resizable-buffer-grow-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__findLastIndex__resizable-buffer-grow-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/slice/length-exceeding-integer-limit.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__length-exceeding-integer-limit.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/ArrayIteratorPrototype/next/Int32Array.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__Int32Array.js: first result `value` Expected SameValue(«undefined», «3») to be true
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-5-7.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-5-7.js: [11].every(callbackfn, eval) !== true
[FAIL 1] built-ins/Array/prototype/unshift/set-length-zero-array-length-is-non-writable.js | Exception in /tmp/repro_built-ins__Array__prototype__unshift__set-length-zero-array-length-is-non-writable.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/map/create-proto-from-ctor-realm-array.js | Exception in /tmp/repro_built-ins__Array__prototype__map__create-proto-from-ctor-realm-array.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/flatMap/proxy-access-count.js | Exception in /tmp/repro_built-ins__Array__prototype__flatMap__proxy-access-count.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/lastIndexOf/resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__resizable-buffer.js: Expected SameValue(«-1», «1») to be true
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-5-15.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-5-15.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/flat/symbol-object-create-null-depth-throws.js | Exception in /tmp/repro_built-ins__Array__prototype__flat__symbol-object-create-null-depth-throws.js: symbol value Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/sort/S15.4.4.11_A3_T1.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__S15.4.4.11_A3_T1.js: #1: Check ToString operator
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-b-ii-2.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-b-ii-2.js: [undefined].indexOf() Expected SameValue(«-1», «0») to be true
[FAIL 1] built-ins/Array/prototype/reverse/get_if_present_with_delete.js | Exception in /tmp/repro_built-ins__Array__prototype__reverse__get_if_present_with_delete.js: Indexed property '0' not present Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-4-11.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-4-11.js: Expected a Test262Error but got a TypeError
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-4-11.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-4-11.js: Expected a Test262Error but got a TypeError
