[FAIL 1] built-ins/Array/prototype/find/resizable-buffer-shrink-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__find__resizable-buffer-shrink-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/concat/create-species.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__create-species.js: The value of callCount is expected to be 1 Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/ArrayIteratorPrototype/next/args-mapped-truncation-before-exhaustion.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__args-mapped-truncation-before-exhaustion.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/push/clamps-to-integer-limit.js | Exception in /tmp/repro_built-ins__Array__prototype__push__clamps-to-integer-limit.js: Length is 2**53 - 1 Expected SameValue(«4294967295», «9007199254740991») to be true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-8-b-iii-1-32.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-8-b-iii-1-32.js: accessed Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-c-iii-21.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-c-iii-21.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/includes/length-boundaries.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__length-boundaries.js: 2**53-1, found value at 2**53-2 Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/Array/prototype/push/set-length-zero-array-length-is-non-writable.js | Exception in /tmp/repro_built-ins__Array__prototype__push__set-length-zero-array-length-is-non-writable.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-c-i-32.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-c-i-32.js: accessed Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-16.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-16.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/values/iteration-mutable.js | Exception in /tmp/repro_built-ins__Array__prototype__values__iteration-mutable.js: Exhausted result `done` flag (after push) Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/Array/prototype/sort/precise-setter-deletes-successor.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-setter-deletes-successor.js: Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/reduce/callbackfn-resize-arraybuffer.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__callbackfn-resize-arraybuffer.js: Expected argument [undefined] shouldn't be primitive. prevs (shrink) (Testing with Float64Array and makePassthrough.)
[FAIL 1] built-ins/Array/prototype/concat/create-revoked-proxy.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__create-revoked-proxy.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-9.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-9.js: newAccum Expected SameValue(«"initialValue0123"», «"initialValue01"») to be true
[FAIL 1] built-ins/Array/prototype/filter/resizable-buffer-grow-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__resizable-buffer-grow-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/with/index-casted-to-number.js | Exception in /tmp/repro_built-ins__Array__prototype__with__index-casted-to-number.js: RangeError: Invalid index
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-8-b-iii-1-16.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-8-b-iii-1-16.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-9-c-i-15.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-9-c-i-15.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-22.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-22.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/concat/Array.prototype.concat_small-typed-array.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__Array.prototype.concat_small-typed-array.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-3-8.js | 
[FAIL 1] built-ins/Array/prototype/slice/target-array-with-non-configurable-property.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__target-array-with-non-configurable-property.js: Expected a TypeError to be thrown but no exception was thrown at all
