[FAIL 1] built-ins/Array/length/S15.4.5.1_A1.3_T2.js | Exception in /tmp/repro_built-ins__Array__length__S15.4.5.1_A1.3_T2.js: error
[FAIL 1] built-ins/Array/prototype/join/coerced-separator-grow.js | Exception in /tmp/repro_built-ins__Array__prototype__join__coerced-separator-grow.js: Expected SameValue(«""», «"0.0.0.0"») to be true
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-1-11.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-1-11.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/sort/S15.4.4.11_A6_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__S15.4.4.11_A6_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/unshift/S15.4.4.13_A4_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__unshift__S15.4.4.13_A4_T2.js: #3: Array.prototype[0] = 1; x = []; x.length = 1; x.unshift(0); x[1] === 1. Actual: undefined
[FAIL 1] built-ins/Array/prototype/concat/is-concat-spreadable-proxy-revoked.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__is-concat-spreadable-proxy-revoked.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-2-10.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-2-10.js: result !== true
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-7-b-11.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-7-b-11.js: testResult !== true
[FAIL 1] built-ins/ArrayIteratorPrototype/next/Uint8Array.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__Uint8Array.js: first result `value` Expected SameValue(«undefined», «3») to be true
[FAIL 1] built-ins/Array/prototype/pop/set-length-array-length-is-non-writable.js | Exception in /tmp/repro_built-ins__Array__prototype__pop__set-length-array-length-is-non-writable.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/sort/precise-getter-sets-predecessor.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-getter-sets-predecessor.js: Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/ArrayIteratorPrototype/next/Int16Array.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__Int16Array.js: first result `value` Expected SameValue(«undefined», «3») to be true
[FAIL 1] built-ins/Array/prototype/sort/precise-getter-deletes-successor.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-getter-deletes-successor.js: Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-20.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-20.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-2-10.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-2-10.js: Array.prototype.reduce.call(child, callbackfn, 1) Expected SameValue(«1», «true») to be true
[FAIL 1] built-ins/Array/prototype/map/create-revoked-proxy.js | Exception in /tmp/repro_built-ins__Array__prototype__map__create-revoked-proxy.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/forEach/resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__resizable-buffer.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/map/create-species-undef-invalid-len.js | Exception in /tmp/repro_built-ins__Array__prototype__map__create-species-undef-invalid-len.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/sort/precise-getter-appends-elements.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-getter-appends-elements.js: Expected SameValue(«"bar"», «"b"») to be true
