[FAIL 1] built-ins/Array/prototype/lastIndexOf/coerced-position-grow.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__coerced-position-grow.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-25.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-25.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-28.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-28.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/sort/precise-setter-pops-elements.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-setter-pops-elements.js: Expected SameValue(«8», «7») to be true
[FAIL 1] built-ins/Array/prototype/sort/precise-setter-deletes-successor.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-setter-deletes-successor.js: Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/push/clamps-to-integer-limit.js | Exception in /tmp/repro_built-ins__Array__prototype__push__clamps-to-integer-limit.js: Length is 2**53 - 1 Expected SameValue(«4294967295», «9007199254740991») to be true
[FAIL 1] built-ins/Array/prototype/findIndex/predicate-is-not-callable-throws.js | Exception in /tmp/repro_built-ins__Array__prototype__findIndex__predicate-is-not-callable-throws.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/ArrayIteratorPrototype/next/args-unmapped-expansion-before-exhaustion.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__args-unmapped-expansion-before-exhaustion.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/sort/precise-prototype-element.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-prototype-element.js: Expected SameValue(«undefined», «4») to be true
[FAIL 1] built-ins/Array/prototype/forEach/resizable-buffer-shrink-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__resizable-buffer-shrink-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/concat/S15.4.4.4_A3_T1.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__S15.4.4.4_A3_T1.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/splice/length-exceeding-integer-limit-shrink-array.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__length-exceeding-integer-limit-shrink-array.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-4-2.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-4-2.js: Expected a ReferenceError but got a TypeError
[FAIL 1] built-ins/Array/length/define-own-prop-length-overflow-realm.js | Exception in /tmp/repro_built-ins__Array__length__define-own-prop-length-overflow-realm.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-b-5.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-b-5.js: arr.some(callbackfn) !== true
[FAIL 1] built-ins/Array/prototype/fill/call-with-boolean.js | Exception in /tmp/repro_built-ins__Array__prototype__fill__call-with-boolean.js: The result of `(Array.prototype.fill.call(true) instanceof Boolean)` is true Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/Array/prototype/map/callbackfn-resize-arraybuffer.js | Exception in /tmp/repro_built-ins__Array__prototype__map__callbackfn-resize-arraybuffer.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Array/of/return-abrupt-from-data-property-using-proxy.js | Exception in /tmp/repro_built-ins__Array__of__return-abrupt-from-data-property-using-proxy.js: Array.of.call(T, "Bob") throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-7-b-7.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-7-b-7.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/splice/create-proto-from-ctor-realm-non-array.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-proto-from-ctor-realm-non-array.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/lastIndexOf/coerced-position-shrink.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__coerced-position-shrink.js: Expected SameValue(«-1», «3») to be true
[FAIL 1] built-ins/Array/prototype/concat/create-ctor-poisoned.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__create-ctor-poisoned.js: a.concat() throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/indexOf/coerced-searchelement-fromindex-shrink.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__coerced-searchelement-fromindex-shrink.js: Expected SameValue(«-1», «0») to be true
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-7-c-i-15.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-7-c-i-15.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/fill/return-abrupt-from-setting-property-value.js | Exception in /tmp/repro_built-ins__Array__prototype__fill__return-abrupt-from-setting-property-value.js: Expected a Test262Error to be thrown but no exception was thrown at all
