[FAIL 1] built-ins/Array/prototype/filter/resizable-buffer-shrink-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__resizable-buffer-shrink-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-b-14.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-b-14.js: arr.some(callbackfn) Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-1-11.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-1-11.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-22.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-22.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/indexOf/calls-only-has-on-prototype-after-length-zeroed.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__calls-only-has-on-prototype-after-length-zeroed.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/splice/create-species-neg-zero.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-species-neg-zero.js: Expected SameValue(«undefined», «1») to be true
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-4-2.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-4-2.js: Expected a ReferenceError but got a TypeError
[FAIL 1] built-ins/Array/prototype/flat/symbol-object-create-null-depth-throws.js | Exception in /tmp/repro_built-ins__Array__prototype__flat__symbol-object-create-null-depth-throws.js: object create null Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/shift/set-length-array-length-is-non-writable.js | Exception in /tmp/repro_built-ins__Array__prototype__shift__set-length-array-length-is-non-writable.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/ArrayIteratorPrototype/next/detach-typedarray-in-progress.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__detach-typedarray-in-progress.js: Expected a TypeError but got a Test262Error (Testing with Float64Array and makePassthrough.)
[FAIL 1] built-ins/Array/prototype/concat/create-species-abrupt.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__create-species-abrupt.js: a.concat() throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-5-15.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-5-15.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/findLastIndex/callbackfn-resize-arraybuffer.js | Exception in /tmp/repro_built-ins__Array__prototype__findLastIndex__callbackfn-resize-arraybuffer.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Array/prototype/toLocaleString/primitive_this_value.js | Exception in /tmp/repro_built-ins__Array__prototype__toLocaleString__primitive_this_value.js: Expected SameValue(«"true,false"», «"boolean,boolean"») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-16.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-16.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/splice/create-species-undef-invalid-len.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-species-undef-invalid-len.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/splice/S15.4.4.12_A2_T1.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__S15.4.4.12_A2_T1.js: #10: var obj = {0:0,1:1,2:2,3:3}; obj.length = 4; obj.splice = Array.prototype.splice; var arr = obj.splice(0,3,4,5); obj[3] === undefined. Actual: 3
[FAIL 1] built-ins/Array/prototype/find/resizable-buffer-shrink-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__find__resizable-buffer-shrink-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/lastIndexOf/coerced-position-grow.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__coerced-position-grow.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/from/iter-set-length-err.js | Exception in /tmp/repro_built-ins__Array__from__iter-set-length-err.js: Array.from.call(poisonedPrototypeLength, items) throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/copyWithin/fill-holes.js | Exception in /tmp/repro_built-ins__Array__prototype__copyWithin__fill-holes.js: Expected SameValue(«3», «5») to be true
[FAIL 1] built-ins/ArrayIteratorPrototype/next/name.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-1-11.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-1-11.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/copyWithin/return-abrupt-from-this-length.js | Exception in /tmp/repro_built-ins__Array__prototype__copyWithin__return-abrupt-from-this-length.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-1-11.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-1-11.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-9-b-11.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-9-b-11.js: newArr.length Expected SameValue(«3», «2») to be true
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-b-9.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-b-9.js: typeof testResult[1] Expected SameValue(«"boolean"», «"undefined"») to be true
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-3.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-3.js: resArr.length Expected SameValue(«4», «5») to be true
[FAIL 1] built-ins/Array/prototype/pop/S15.4.4.6_A2_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__pop__S15.4.4.6_A2_T2.js: #2: var obj = {}; obj.length = NaN; obj.pop = Array.prototype.pop; obj.pop(); obj.length === 0. Actual: NaN
