[FAIL 1] built-ins/Array/prototype/filter/callbackfn-resize-arraybuffer.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__callbackfn-resize-arraybuffer.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Array/of/construct-this-with-the-number-of-arguments.js | Exception in /tmp/repro_built-ins__Array__of__construct-this-with-the-number-of-arguments.js: The value of len is expected to be 0 Expected SameValue(«undefined», «0») to be true
[FAIL 1] built-ins/Array/prototype/sort/comparefn-resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__comparefn-resizable-buffer.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/lastIndexOf/15.4.4.15-8-b-i-31.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__15.4.4.15-8-b-i-31.js: accessed Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/splice/create-proxy.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-proxy.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/sort/precise-getter-pops-elements.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-getter-pops-elements.js: Expected SameValue(«"a"», «"b"») to be true
[FAIL 1] built-ins/Array/prototype/findLast/resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__findLast__resizable-buffer.js: Expected SameValue(«NaN», «4») to be true
[FAIL 1] built-ins/Array/prototype/splice/S15.4.4.12_A4_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__S15.4.4.12_A4_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/toSpliced/mutate-while-iterating.js | Exception in /tmp/repro_built-ins__Array__prototype__toSpliced__mutate-while-iterating.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/copyWithin/fill-holes.js | Exception in /tmp/repro_built-ins__Array__prototype__copyWithin__fill-holes.js: Expected SameValue(«3», «5») to be true
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-b-7.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-b-7.js: arr.some(callbackfn) !== true
