[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-2-10.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-2-10.js: newArr.length Expected SameValue(«0», «2») to be true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-1-11.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-1-11.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-5-13.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-5-13.js: Expected a Test262Error but got a TypeError
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-b-11.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-b-11.js: typeof testResult[1] Expected SameValue(«"boolean"», «"undefined"») to be true
[FAIL 1] built-ins/Array/prototype/splice/create-proxy.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-proxy.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-9-c-i-15.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-9-c-i-15.js: newArr.length Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Array/prototype/includes/resizable-buffer-special-float-values.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__resizable-buffer-special-float-values.js: Expected true but got false
[FAIL 1] built-ins/Array/prototype/flatMap/this-value-ctor-object-species-custom-ctor-poisoned-throws.js | Exception in /tmp/repro_built-ins__Array__prototype__flatMap__this-value-ctor-object-species-custom-ctor-poisoned-throws.js: Return abrupt completion from species custom ctor Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-b-13.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-b-13.js: arr.some(callbackfn) !== true
[FAIL 1] built-ins/ArrayIteratorPrototype/next/args-unmapped-expansion-before-exhaustion.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__args-unmapped-expansion-before-exhaustion.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/splice/target-array-with-non-configurable-property.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__target-array-with-non-configurable-property.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-a-8.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-a-8.js: arr.indexOf(1) Expected SameValue(«-1», «1») to be true
[FAIL 1] built-ins/Array/prototype/toSpliced/mutate-while-iterating.js | Exception in /tmp/repro_built-ins__Array__prototype__toSpliced__mutate-while-iterating.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/slice/create-revoked-proxy.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__create-revoked-proxy.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/shift/S15.4.4.9_A4_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__shift__S15.4.4.9_A4_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Array/of/return-abrupt-from-setting-length.js | Exception in /tmp/repro_built-ins__Array__of__return-abrupt-from-setting-length.js: Array.of.call(T) throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-c-i-15.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-c-i-15.js: testResult[0] Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/Array/prototype/splice/create-species.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__create-species.js: Constructor invoked exactly once Expected SameValue(«0», «1») to be true
