[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-7-b-13.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-7-b-13.js: arr.every(callbackfn) Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/join/resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__join__resizable-buffer.js: Expected SameValue(«""», «"0,2,4,6"») to be true
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-b-13.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-b-13.js: arr.some(callbackfn) !== true
[FAIL 1] built-ins/Array/prototype/values/iteration-mutable.js | Exception in /tmp/repro_built-ins__Array__prototype__values__iteration-mutable.js: Exhausted result `done` flag (after push) Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/Array/prototype/shift/set-length-zero-array-is-frozen.js | Exception in /tmp/repro_built-ins__Array__prototype__shift__set-length-zero-array-is-frozen.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/includes/resizable-buffer-special-float-values.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__resizable-buffer-special-float-values.js: Expected true but got false
[FAIL 1] built-ins/Array/from/iter-cstm-ctor-err.js | Exception in /tmp/repro_built-ins__Array__from__iter-cstm-ctor-err.js: Array.from.call(C, items) throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-7-b-5.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-7-b-5.js: arr.every(callbackfn) Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-9-c-i-33.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-9-c-i-33.js: accessed Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/sort/comparefn-grow.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__comparefn-grow.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-1-11.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-1-11.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/sort/precise-setter-pops-elements.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-setter-pops-elements.js: Expected SameValue(«8», «7») to be true
[FAIL 1] built-ins/Array/prototype/lastIndexOf/15.4.4.15-8-a-9.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__15.4.4.15-8-a-9.js: Array.prototype.lastIndexOf.call(arr, Infinity) Expected SameValue(«-1», «1») to be true
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-2-10.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-2-10.js: Array.prototype.some.call(child, callbackfn1) !== true
[FAIL 1] built-ins/Array/prototype/map/create-species-poisoned.js | Exception in /tmp/repro_built-ins__Array__prototype__map__create-species-poisoned.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-b-i-16.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-b-i-16.js: Array.prototype.indexOf.call({ length: 3 }, 10) Expected SameValue(«-1», «0») to be true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-9-b-12.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-9-b-12.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-9.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-9.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-9-b-25.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-9-b-25.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/push/S15.4.4.7_A4_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__push__S15.4.4.7_A4_T2.js: #4: var obj = {}; obj.push = Array.prototype.push; obj.length = 4294967295; obj.push("x", "y", "z"); obj[4294967296] === "y". Actual: undefined
[FAIL 1] built-ins/Array/prototype/join/coerced-separator-grow.js | Exception in /tmp/repro_built-ins__Array__prototype__join__coerced-separator-grow.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/map/resizable-buffer-shrink-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__map__resizable-buffer-shrink-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/S15.4.5.2_A1_T1.js | Exception in /tmp/repro_built-ins__Array__S15.4.5.2_A1_T1.js: The value of x.length is expected to be 4294967295 Expected SameValue(«2147483649», «4294967295») to be true
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-5-15.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-5-15.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-29.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-29.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/reduceRight/resizable-buffer-grow-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__resizable-buffer-grow-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/keys/resizable-buffer-grow-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__keys__resizable-buffer-grow-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/map/target-array-non-extensible.js | Exception in /tmp/repro_built-ins__Array__prototype__map__target-array-non-extensible.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-9-b-5.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-9-b-5.js: newArr.length Expected SameValue(«2», «3») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-c-i-33.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-c-i-33.js: accessed Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/reduce/callbackfn-resize-arraybuffer.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__callbackfn-resize-arraybuffer.js: Expected argument [undefined] shouldn't be primitive. prevs (shrink) (Testing with Float64Array and makePassthrough.)
[FAIL 1] built-ins/Array/prototype/sort/precise-getter-deletes-successor.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-getter-deletes-successor.js: Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/splice/S15.4.4.12_A3_T1.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__S15.4.4.12_A3_T1.js: #4: var obj = {}; obj.splice = Array.prototype.splice; obj[0] = "x"; obj[4294967295] = "y"; obj.length = 4294967296; var arr = obj.splice(4294967295,1); obj[4294967295] === undefined. Actual: y
[FAIL 1] built-ins/ArrayIteratorPrototype/next/non-own-slots.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__non-own-slots.js: Expected a TypeError to be thrown but no exception was thrown at all
