[FAIL 1] built-ins/Array/proto-from-ctor-realm-two.js | Exception in /tmp/repro_built-ins__Array__proto-from-ctor-realm-two.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-16.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-16.js: testResult !== true
[FAIL 1] built-ins/Array/of/return-abrupt-from-data-property-using-proxy.js | Exception in /tmp/repro_built-ins__Array__of__return-abrupt-from-data-property-using-proxy.js: Array.of.call(T, "Bob") throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/shift/S15.4.4.9_A4_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__shift__S15.4.4.9_A4_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-1-11.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-1-11.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/filter/target-array-non-extensible.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__target-array-non-extensible.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/sort/precise-getter-deletes-successor.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-getter-deletes-successor.js: Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-5-27.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-5-27.js: stepThreeOccurs !== true
[FAIL 1] built-ins/Array/prototype/slice/create-species.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__create-species.js: Constructor invoked exactly once Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-2-10.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-2-10.js: Array.prototype.reduceRight.call(child, callbackfn, 11) !== true
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-b-i-16.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-b-i-16.js: Array.prototype.indexOf.call({ length: 3 }, 10) Expected SameValue(«-1», «0») to be true
[FAIL 1] built-ins/Array/prototype/values/resizable-buffer-grow-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__values__resizable-buffer-grow-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Array/prototype/includes/resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__resizable-buffer.js: Expected true but got false
[FAIL 1] built-ins/Array/prototype/unshift/S15.4.4.13_A4_T1.js | Exception in /tmp/repro_built-ins__Array__prototype__unshift__S15.4.4.13_A4_T1.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/concat/create-species-non-ctor.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__create-species-non-ctor.js: a.concat() throws a TypeError exception Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-4-9.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-4-9.js: accessed !== true
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-9-b-6.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-9-b-6.js: newArr.length Expected SameValue(«1», «2») to be true
[FAIL 1] built-ins/Array/prototype/unshift/set-length-array-length-is-non-writable.js | Exception in /tmp/repro_built-ins__Array__prototype__unshift__set-length-array-length-is-non-writable.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-5-15.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-5-15.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/sort/comparefn-resizable-buffer.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__comparefn-resizable-buffer.js: TypeError: Array.prototype.map callback is not a function
