[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-a-8.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-a-8.js: arr.indexOf(1) Expected SameValue(«-1», «1») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-5.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-5.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-b-15.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-b-15.js: testResult[2] Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-9-b-12.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-9-b-12.js: testResult !== true
[FAIL 1] built-ins/ArrayIteratorPrototype/next/Int32Array.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__Int32Array.js: first result `value` Expected SameValue(«undefined», «3») to be true
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-9-b-15.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-9-b-15.js: newArr[2] Expected SameValue(«2», «"prototype"») to be true
[FAIL 1] built-ins/Array/prototype/findLastIndex/maximum-index.js | Exception in /tmp/repro_built-ins__Array__prototype__findLastIndex__maximum-index.js: Expected SameValue(«4294967294», «9007199254740990») to be true
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-b-12.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-b-12.js: Array.prototype.some.call(arr, callbackfn) !== true
[FAIL 1] built-ins/Array/prototype/slice/create-proto-from-ctor-realm-non-array.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__create-proto-from-ctor-realm-non-array.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/map/create-proto-from-ctor-realm-non-array.js | Exception in /tmp/repro_built-ins__Array__prototype__map__create-proto-from-ctor-realm-non-array.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-c-i-15.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-c-i-15.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-7.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-7.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/unshift/set-length-array-length-is-non-writable.js | Exception in /tmp/repro_built-ins__Array__prototype__unshift__set-length-array-length-is-non-writable.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-12.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-12.js: testResult !== true
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-9-c-iii-22.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-9-c-iii-22.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/copyWithin/length-near-integer-limit.js | Exception in /tmp/repro_built-ins__Array__prototype__copyWithin__length-near-integer-limit.js: Expected SameValue(«0», «-3») to be true
[FAIL 1] built-ins/Array/prototype/indexOf/calls-only-has-on-prototype-after-length-zeroed.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__calls-only-has-on-prototype-after-length-zeroed.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/isArray/proxy.js | Exception in /tmp/repro_built-ins__Array__isArray__proxy.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/concat/S15.4.4.4_A3_T3.js | Exception in /tmp/repro_built-ins__Array__prototype__concat__S15.4.4.4_A3_T3.js: The value of a[2] is expected to be 2 Expected SameValue(«undefined», «2») to be true
[FAIL 1] built-ins/Array/of/return-abrupt-from-setting-length.js | Exception in /tmp/repro_built-ins__Array__of__return-abrupt-from-setting-length.js: Array.of.call(T) throws a Test262Error exception Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-b-i-15.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-b-i-15.js: [, , , ].indexOf(10) Expected SameValue(«-1», «0») to be true
