[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-255-1.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-255-1.js: data Expected SameValue(«"data"», «"overrideData"») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-26.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-26.js: testResult !== true
[FAIL 1] built-ins/Date/parse/zero.js | Exception in /tmp/repro_built-ins__Date__parse__zero.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-7-b-7.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-7-b-7.js: arr.every(callbackfn) Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Array/prototype/keys/return-abrupt-from-this.js | Exception in /tmp/repro_built-ins__Array__prototype__keys__return-abrupt-from-this.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Error/internal-prototype.js | Exception in /tmp/repro_built-ins__Error__internal-prototype.js: Function.prototype.isPrototypeOf(Error.constructor) returns true Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/Array/prototype/sort/precise-getter-deletes-predecessor.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-getter-deletes-predecessor.js: Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Promise/any/ctx-ctor.js | Exception in /tmp/repro_built-ins__Promise__any__ctx-ctor.js: Expected SameValue(«[object Object]», «[object Object]») to be true
[FAIL 1] built-ins/Array/prototype/sort/precise-setter-appends-elements.js | Exception in /tmp/repro_built-ins__Array__prototype__sort__precise-setter-appends-elements.js: Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/ArrayIteratorPrototype/next/non-own-slots.js | Exception in /tmp/repro_built-ins__ArrayIteratorPrototype__next__non-own-slots.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-173.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-173.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/decodeURIComponent/S15.1.3.2_A1.8_T2.js | Exception in /tmp/repro_built-ins__decodeURIComponent__S15.1.3.2_A1.8_T2.js: #00E0-00EF 
[FAIL 1] built-ins/Date/S15.9.3.2_A3_T1.1.js | Exception in /tmp/repro_built-ins__Date__S15.9.3.2_A3_T1.1.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-7-b-6.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-7-b-6.js: Array.prototype.every.call(arr, callbackfn) Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-5-b-246.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-5-b-246.js: TypeError: Property description must be an object
[FAIL 1] built-ins/Array/prototype/slice/S15.4.4.10_A2.2_T5.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__S15.4.4.10_A2.2_T5.js: #2: var x = [0,1,2,3,4]; var arr = x.slice(0,{valueOf: function() {return 3}, toString: function() {return 0}}); arr.length === 3. Actual: 5
[FAIL 1] built-ins/Object/create/15.2.3.5-4-65.js | Exception in /tmp/repro_built-ins__Object__create__15.2.3.5-4-65.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Function/prototype/bind/15.3.4.5-21-2.js | Exception in /tmp/repro_built-ins__Function__prototype__bind__15.3.4.5-21-2.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-7-b-13.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-7-b-13.js: testResult !== true
[FAIL 1] built-ins/Object/prototype/__lookupSetter__/lookup-own-proto-err.js | Exception in /tmp/repro_built-ins__Object__prototype____lookupSetter____lookup-own-proto-err.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/setHours/arg-ms-to-number-err.js | Exception in /tmp/repro_built-ins__Date__prototype__setHours__arg-ms-to-number-err.js: TypeError: function is not a constructor
[FAIL 1] built-ins/SetIteratorPrototype/next/this-not-object-throw-entries.js | Exception in /tmp/repro_built-ins__SetIteratorPrototype__next__this-not-object-throw-entries.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-243-2.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-243-2.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-a-19.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-a-19.js: arr.indexOf("unconfigurable") Expected SameValue(«-1», «2») to be true
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-103.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-103.js: Expected obj[foo] to be writable, but was not.
[FAIL 1] built-ins/String/fromCharCode/S9.7_A3.1_T1.js | Exception in /tmp/repro_built-ins__String__fromCharCode__S9.7_A3.1_T1.js: #1: String.fromCharCode(new Boolean(true)).charCodeAt(0) === 1. Actual: 0
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-1-11.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-1-11.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/setSeconds/arg-ms-to-number-err.js | Exception in /tmp/repro_built-ins__Date__prototype__setSeconds__arg-ms-to-number-err.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-4-9.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-4-9.js: accessed !== true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-39.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-39.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Function/prototype/toString/S15.3.4.2_A8.js | Exception in /tmp/repro_built-ins__Function__prototype__toString__S15.3.4.2_A8.js: Function.prototype.toString.hasOwnProperty('length') must return true
[FAIL 1] built-ins/Date/S15.9.3.1_A6_T4.js | Exception in /tmp/repro_built-ins__Date__S15.9.3.1_A6_T4.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/setFullYear/arg-month-to-number-err.js | Exception in /tmp/repro_built-ins__Date__prototype__setFullYear__arg-month-to-number-err.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-253.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-253.js: obj['0'] value should be 36; obj['0'] descriptor should not be writable
[FAIL 1] built-ins/Date/prototype/setFullYear/prop-desc.js | Exception in /tmp/repro_built-ins__Date__prototype__setFullYear__prop-desc.js: obj should have an own property setFullYear
[FAIL 1] built-ins/Array/prototype/pop/S15.4.4.6_A3_T3.js | Exception in /tmp/repro_built-ins__Array__prototype__pop__S15.4.4.6_A3_T3.js: #2: var obj = {}; obj.pop = Array.prototype.pop; obj[4294967294] = "x"; obj.length = -1; obj.pop(); obj.length === 0. Actual: -1
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-2-2.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-2-2.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/decodeURI/S15.1.3.1_A3_T1.js | Exception in /tmp/repro_built-ins__decodeURI__S15.1.3.1_A3_T1.js: #1: decodeURI("%3B") equal "%3B", not ";"
[FAIL 1] built-ins/Object/isFrozen/15.2.3.12-3-28.js | Exception in /tmp/repro_built-ins__Object__isFrozen__15.2.3.12-3-28.js: Object.isFrozen(obj) !== true
[FAIL 1] built-ins/Function/prototype/caller/prop-desc.js | Exception in /tmp/repro_built-ins__Function__prototype__caller__prop-desc.js: obj should have an own property caller
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-294-1.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-294-1.js: Expected "a === 10", actually 0
[FAIL 1] built-ins/Function/S15.3.2.1_A3_T14.js | Exception in /tmp/repro_built-ins__Function__S15.3.2.1_A3_T14.js: #1: test failed with error TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/all/invoke-then-error-reject.js | Exception in /tmp/repro_built-ins__Promise__all__invoke-then-error-reject.js: The promise should be rejected
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-127.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-127.js: arrObj.length Expected SameValue(«false», «0») to be true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-624.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-624.js: obj should have an own property toJSON
[FAIL 1] built-ins/Date/prototype/getUTCMinutes/this-value-invalid-date.js | Exception in /tmp/repro_built-ins__Date__prototype__getUTCMinutes__this-value-invalid-date.js: TypeError: function is not a constructor
[FAIL 1] built-ins/String/prototype/match/S15.5.4.10_A1_T4.js | Exception in /tmp/repro_built-ins__String__prototype__match__S15.5.4.10_A1_T4.js: TypeError: is not a function
[FAIL 1] built-ins/Function/S15.3.3_A1.js | Exception in /tmp/repro_built-ins__Function__S15.3.3_A1.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/reduceRight/15.4.4.22-8-b-iii-1-15.js | Exception in /tmp/repro_built-ins__Array__prototype__reduceRight__15.4.4.22-8-b-iii-1-15.js: testResult !== true
[FAIL 1] built-ins/Date/prototype/toJSON/to-primitive-symbol.js | Exception in /tmp/repro_built-ins__Date__prototype__toJSON__to-primitive-symbol.js: TypeError: Cannot read properties of undefined (reading 'call')
[FAIL 1] built-ins/Date/prototype/getUTCMilliseconds/length.js | Exception in /tmp/repro_built-ins__Date__prototype__getUTCMilliseconds__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Array/prototype/entries/return-abrupt-from-this.js | Exception in /tmp/repro_built-ins__Array__prototype__entries__return-abrupt-from-this.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-290.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-290.js: Expected obj[0] to be writable, but was not.
[FAIL 1] built-ins/Function/15.3.5.4_2-11gs.js | Exception in /tmp/repro_built-ins__Function__15.3.5.4_2-11gs.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/assign/strings-and-symbol-order.js | Exception in /tmp/repro_built-ins__Object__assign__strings-and-symbol-order.js: TypeError: Cannot convert object to primitive value
[FAIL 1] built-ins/Date/prototype/getUTCDate/length.js | Exception in /tmp/repro_built-ins__Date__prototype__getUTCDate__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Object/create/15.2.3.5-4-6.js | Exception in /tmp/repro_built-ins__Object__create__15.2.3.5-4-6.js: TypeError: Property description must be an object
[FAIL 1] built-ins/Array/prototype/find/predicate-is-not-callable-throws.js | Exception in /tmp/repro_built-ins__Array__prototype__find__predicate-is-not-callable-throws.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Date/S15.9.3.2_A3_T1.2.js | Exception in /tmp/repro_built-ins__Date__S15.9.3.2_A3_T1.2.js: TypeError: function is not a constructor
[FAIL 1] built-ins/isNaN/toprimitive-get-abrupt.js | Exception in /tmp/repro_built-ins__isNaN__toprimitive-get-abrupt.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Date/prototype/setDate/prop-desc.js | Exception in /tmp/repro_built-ins__Date__prototype__setDate__prop-desc.js: obj should have an own property setDate
[FAIL 1] built-ins/Object/seal/seal-weakset.js | Exception in /tmp/repro_built-ins__Object__seal__seal-weakset.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/any/resolved-sequence-mixed.js | Exception in /tmp/repro_built-ins__Promise__any__resolved-sequence-mixed.js: Expected SameValue(«2», «3») to be true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-117.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-117.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-9-b-13.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-9-b-13.js: newArr.length Expected SameValue(«2», «3») to be true
[FAIL 1] built-ins/Array/prototype/filter/create-species-non-ctor.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__create-species-non-ctor.js: a.filter(cb) throws a TypeError exception Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/lastIndexOf/15.4.4.15-8-a-18.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__15.4.4.15-8-a-18.js: arr.lastIndexOf("prototype") Expected SameValue(«-1», «2») to be true
[FAIL 1] built-ins/Date/prototype/setMilliseconds/arg-to-number.js | Exception in /tmp/repro_built-ins__Date__prototype__setMilliseconds__arg-to-number.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/try/prop-desc.js | Exception in /tmp/repro_built-ins__Promise__try__prop-desc.js: obj should have an own property try
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-c-i-16.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-c-i-16.js: testResult[0] Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/Array/prototype/flatMap/array-like-objects-typedarrays.js | Exception in /tmp/repro_built-ins__Array__prototype__flatMap__array-like-objects-typedarrays.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/String/prototype/match/S15.5.4.10_A1_T6.js | Exception in /tmp/repro_built-ins__String__prototype__match__S15.5.4.10_A1_T6.js: TypeError: is not a function
