[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-7-b-6.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-7-b-6.js: Array.prototype.every.call(arr, callbackfn) Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Function/prototype/Symbol.hasInstance/length.js | Exception in /tmp/repro_built-ins__Function__prototype__Symbol.hasInstance__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Array/prototype/unshift/S15.4.4.13_A4_T1.js | Exception in /tmp/repro_built-ins__Array__prototype__unshift__S15.4.4.13_A4_T1.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/pop/set-length-zero-array-length-is-non-writable.js | Exception in /tmp/repro_built-ins__Array__prototype__pop__set-length-zero-array-length-is-non-writable.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/String/prototype/toLocaleLowerCase/Final_Sigma_U180E.js | Exception in /tmp/repro_built-ins__String__prototype__toLocaleLowerCase__Final_Sigma_U180E.js: Sigma preceded by LATIN CAPITAL LETTER A, MONGOLIAN VOWEL SEPARATOR Expected SameValue(«"a᠎Σ"», «"a᠎ς"») to be true
[FAIL 1] built-ins/Error/constructor.js | Exception in /tmp/repro_built-ins__Error__constructor.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Promise/any/iter-arg-is-string-resolve.js | Exception in /tmp/repro_built-ins__Promise__any__iter-arg-is-string-resolve.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/setSeconds/this-value-non-date.js | Exception in /tmp/repro_built-ins__Date__prototype__setSeconds__this-value-non-date.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/SetIteratorPrototype/next/this-not-object-throw-prototype-iterator.js | Exception in /tmp/repro_built-ins__SetIteratorPrototype__next__this-not-object-throw-prototype-iterator.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/prototype/__defineGetter__/length.js | Exception in /tmp/repro_built-ins__Object__prototype____defineGetter____length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Array/length/define-own-prop-length-coercion-order-set.js | Exception in /tmp/repro_built-ins__Array__length__define-own-prop-length-coercion-order-set.js: `"use strict"; array.length = length` throws a TypeError exception Expected a TypeError to be thrown but no exception was thrown at all
