[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-218.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-218.js: obj['0'] descriptor should not be writable
[FAIL 1] built-ins/StringIteratorPrototype/Symbol.toStringTag.js | Exception in /tmp/repro_built-ins__StringIteratorPrototype__Symbol.toStringTag.js: Expected SameValue(«undefined», «"String Iterator"») to be true
[FAIL 1] built-ins/Array/prototype/splice/S15.4.4.12_A4_T3.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__S15.4.4.12_A4_T3.js: TypeError: is not a function
[FAIL 1] built-ins/Object/defineProperty/coerced-P-shrink.js | Exception in /tmp/repro_built-ins__Object__defineProperty__coerced-P-shrink.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/create/15.2.3.5-4-143.js | Exception in /tmp/repro_built-ins__Object__create__15.2.3.5-4-143.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/lastIndexOf/15.4.4.15-8-a-15.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__15.4.4.15-8-a-15.js: Array.prototype.lastIndexOf.call(arr, 1) Expected SameValue(«-1», «1») to be true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-82-23.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-82-23.js: Expected obj[0] to be writable, but was not.
[FAIL 1] built-ins/Object/seal/seal-function.js | Exception in /tmp/repro_built-ins__Object__seal__seal-function.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/prototype/proto.js | Exception in /tmp/repro_built-ins__Object__prototype__proto.js: Expected SameValue(«[object Object]», «null») to be true
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-7-b-9.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-7-b-9.js: arr.every(callbackfn) !== true
[FAIL 1] built-ins/Function/prototype/apply/this-not-callable-realm.js | Exception in /tmp/repro_built-ins__Function__prototype__apply__this-not-callable-realm.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Function/prototype/property-order.js | Exception in /tmp/repro_built-ins__Function__prototype__property-order.js: The `length` property comes before the `name` property on built-in functions
[FAIL 1] built-ins/Promise/resolve/prop-desc.js | Exception in /tmp/repro_built-ins__Promise__resolve__prop-desc.js: obj['resolve'] descriptor should not be enumerable
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-5-15.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-5-15.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/getTime/this-value-non-object.js | Exception in /tmp/repro_built-ins__Date__prototype__getTime__this-value-non-object.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Date/prototype/setDate/this-value-non-object.js | Exception in /tmp/repro_built-ins__Date__prototype__setDate__this-value-non-object.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Object/prototype/toLocaleString/primitive_this_value.js | Exception in /tmp/repro_built-ins__Object__prototype__toLocaleString__primitive_this_value.js: Expected SameValue(«"true"», «"boolean"») to be true
[FAIL 1] built-ins/Function/prototype/bind/15.3.4.5-2-3.js | Exception in /tmp/repro_built-ins__Function__prototype__bind__15.3.4.5-2-3.js: n Expected SameValue(«undefined», «42») to be true
